Forme,Lemme,Cat,Genre,Nb,Pers,Temps,Spec,Fonc,Gvn/Dist/Aux,Graph,Lang,Cmp,FLX,DRV,UNAMB,Ref,Sem,Info/Accent
clapotement,clapotement,N,m,s,,,,,,,,,M_S
clapotements,clapotement,N,m,p,,,,,,,,,M_S
clapotis,clapotis,N,m,s,,,,,,,,,M_0
clapotis,clapotis,N,m,p,,,,,,,,,M_0
clappement,clappement,N,m,s,,,,,,,,,M_S
clappements,clappement,N,m,p,,,,,,,,,M_S
claquage,claquage,N,m,s,,,,,,,,,M_S
claquages,claquage,N,m,p,,,,,,,,,M_S
claque,claque,N,m,s,,,,,,,,,S_0
claque,claque,N,f,s,,,,,,,,,S_0
claques,claque,N,m,p,,,,,,,,,S_0
claques,claque,N,f,p,,,,,,,,,S_0
modernisation,modernisation,N,f,s,,,,,,,,,F_S
modernisations,modernisation,N,f,p,,,,,,,,,F_S
modernisme,modernisme,N,m,s,,,,,,,,,M_S
modernismes,modernisme,N,m,p,,,,,,,,,M_S
moderniste,moderniste,N,m,s,,,,,,,,,S_0
moderniste,moderniste,N,f,s,,,,,,,,,S_0
modernistes,moderniste,N,m,p,,,,,,,,,S_0
modernistes,moderniste,N,f,p,,,,,,,,,S_0
modernité,modernité,N,f,s,,,,,,,,,F_S
modernités,modernité,N,f,p,,,,,,,,,F_S
modestie,modestie,N,f,s,,,,,,,,,F_S
modesties,modestie,N,f,p,,,,,,,,,F_S
aimerai,aimer,V,,s,1,F,,,a,,,,AIMER
aimeras,aimer,V,,s,2,F,,,a,,,,AIMER
aimera,aimer,V,,s,3,F,,,a,,,,AIMER
aimerons,aimer,V,,p,1,F,,,a,,,,AIMER
aimerez,aimer,V,,p,2,F,,,a,,,,AIMER
aimeront,aimer,V,,p,3,F,,,a,,,,AIMER
aimerais,aimer,V,,s,1,C,,,a,,,,AIMER
aimerais,aimer,V,,s,2,C,,,a,,,,AIMER
aimerait,aimer,V,,s,3,C,,,a,,,,AIMER
aimerions,aimer,V,,p,1,C,,,a,,,,AIMER
